observation_date,SanFrancisco_HPI,LosAngeles_HPI,Seattle_HPI,SanDiego_HPI,Chicago_HPI,Dallas_HPI,NewYork_HPI,Phoenix_HPI,Boston_HPI,Miami_HPI,Denver_HPI,Atlanta_HPI,LasVegas_HPI,Tampa_HPI,Portland_HPI,Washington_HPI,Charlotte_HPI,Detroit_HPI,Minneapolis_HPI,Cleveland_HPI
2008-05-01,162.559061564054,199.43282237904705,178.42127172375302,178.504387922957,152.008453158055,121.300576215037,195.83887813126896,158.54023729715598,160.576910814074,194.510500217812,130.12314396623,124.627274859728,162.133991070498,178.067657826533,175.62684092117402,199.865691526536,132.890174548222,94.587480660124,143.41096146355,108.97103393022
2008-06-01,158.501191398476,195.133728502378,176.609765845456,174.350483034615,149.959826484836,120.737962641194,194.83850360971692,153.231140391153,160.546970631492,190.769070742374,130.184768543511,123.079117970185,159.190504865134,174.935014367649,173.859674749588,196.175486398348,131.928796950556,93.36345694057901,141.866523425938,108.296044653439
2008-07-01,154.104881590998,190.676428473232,174.216753939962,169.86087519013202,147.545843039222,120.811810901464,192.564087060206,147.998893547567,159.673788608549,186.216701083206,130.233320780615,121.939481894235,154.271046997754,173.143271414767,171.735767790649,192.713171406193,131.168136163777,92.301168798593,140.906874161845,107.217843008186
2008-08-01,148.158895097411,186.649853758636,172.532714931939,165.738439162981,145.93880663879,120.542164600997,191.06997165153305,142.987078924372,159.491786483836,182.013804470173,129.611744687001,121.095652231609,149.69282255379102,172.318752328764,169.262163312282,190.438552391998,129.970575829737,90.415594657478,138.40639113474398,107.717337852619
2008-09-01,142.834234707206,181.84586921671504,170.300481683598,161.891863100969,144.213880858653,120.333524500539,189.656236522094,138.266110844005,158.220526833225,177.428907162308,128.75048368332,120.120632792709,145.340756616151,168.709976415727,167.332753408397,186.83784797537896,128.909309742738,87.784202890609,136.417162052806,107.996177967982
2008-10-01,137.586482851467,178.067644094684,168.5240983854,157.938691207322,142.34738107757,119.681822567652,187.808347317601,133.395610382189,157.436059326861,172.43137024296502,127.693464649882,118.683015436382,141.12232681585698,164.019903325858,164.599438279817,182.87234192624905,127.532090434795,84.55853063499299,132.581071551938,107.553787869704
2008-11-01,134.682677808819,174.951216392219,165.552172849472,155.152197289258,139.526600558889,118.362504096667,185.505941452326,129.172794950723,154.84266300421,168.488837773199,127.327545488178,116.699091216943,137.126158775849,159.872493206874,161.7102155295,179.559979553831,125.876529862711,82.51648198177699,130.615407160561,107.096655546725
2008-12-01,130.633485441892,171.444600448747,161.068407195746,152.90860474499598,136.711368014944,116.576997441394,183.314602595699,123.432778351081,153.99832370044902,164.268665313909,126.487099102047,113.978634947882,131.22252094478202,155.749746350324,158.64307730105,176.363109444817,123.517951447326,80.245210259152,125.287090345807,105.576252046155
2009-01-01,126.656745531457,167.831334019437,157.161943195221,150.177708713078,132.182810814691,114.772747189472,181.57012475332,117.875629835856,152.676730722152,158.797541624872,124.455662975721,111.452898530936,126.055221323109,150.525586562505,155.943269176092,174.183926823417,122.564240220818,77.690514886508,121.447171020646,104.670752590958
2009-02-01,123.973729759116,165.545566731081,155.795047135591,149.150438317199,129.403049587481,114.895936968484,179.337727582785,113.507894572081,151.910088207914,154.758910680642,123.127420473556,109.400860789178,121.968595998786,147.491667042799,154.031538254683,171.428738724715,121.244401000506,75.444881765003,119.432814041322,100.595562873135
